OrderID,CustomerID,StoreID,EmployeeID,OrderDate,RequiredDate,OrderStatus,OrderChannel,Notes
1001,1,1,6,2023-01-15T10:30:00,2023-01-22T00:00:00,Delivered,InStore,
1002,2,3,10,2023-01-20T14:15:00,2023-01-27T00:00:00,Delivered,Online,
1003,3,3,10,2023-02-05T09:00:00,2023-02-12T00:00:00,Delivered,Online,
1004,7,2,8,2023-02-14T11:45:00,2023-02-21T00:00:00,Delivered,InStore,Valentine gift
1005,4,4,12,2023-03-01T16:20:00,2023-03-08T00:00:00,Delivered,InStore,
1006,5,1,7,2023-03-18T13:00:00,2023-03-25T00:00:00,Delivered,InStore,
1007,11,3,10,2023-04-02T08:30:00,2023-04-09T00:00:00,Delivered,Online,
1008,2,3,10,2023-04-15T19:00:00,2023-04-22T00:00:00,Delivered,Online,Express shipping requested
1009,9,3,10,2023-05-10T12:15:00,2023-05-17T00:00:00,Delivered,Online,
1010,6,2,9,2023-05-28T15:30:00,2023-06-04T00:00:00,Delivered,InStore,
1011,13,4,13,2023-06-12T10:00:00,2023-06-19T00:00:00,Delivered,InStore,
1012,20,3,10,2023-06-25T17:45:00,2023-07-02T00:00:00,Delivered,Online,
1013,8,1,6,2023-07-04T09:30:00,2023-07-11T00:00:00,Delivered,InStore,Holiday sale
1014,15,3,10,2023-07-20T14:00:00,2023-07-27T00:00:00,Delivered,Online,
1015,10,3,10,2023-08-08T11:15:00,2023-08-15T00:00:00,Delivered,Online,
1016,25,2,8,2023-08-22T16:30:00,2023-08-29T00:00:00,Delivered,InStore,
1017,1,3,10,2023-09-05T10:00:00,2023-09-12T00:00:00,Delivered,Online,Return customer
1018,14,2,9,2023-09-18T13:45:00,2023-09-25T00:00:00,Delivered,InStore,
1019,18,3,10,2023-10-01T08:00:00,2023-10-08T00:00:00,Delivered,Online,
1020,7,3,10,2023-10-15T11:30:00,2023-10-22T00:00:00,Delivered,Online,
1021,22,4,12,2023-11-10T14:15:00,2023-11-17T00:00:00,Delivered,InStore,
1022,3,3,10,2023-11-24T09:00:00,2023-12-01T00:00:00,Delivered,Online,Black Friday order
1023,12,3,10,2023-12-10T18:30:00,2023-12-17T00:00:00,Delivered,Online,
1024,5,1,7,2023-12-22T12:00:00,2023-12-29T00:00:00,Delivered,InStore,Christmas gift
1025,11,3,10,2024-01-08T10:30:00,2024-01-15T00:00:00,Delivered,Online,
1026,16,1,6,2024-01-20T15:00:00,2024-01-27T00:00:00,Delivered,InStore,
1027,4,3,10,2024-02-12T09:15:00,2024-02-19T00:00:00,Delivered,Online,
1028,19,3,10,2024-02-28T14:30:00,2024-03-06T00:00:00,Delivered,Online,
1029,2,2,8,2024-03-15T11:00:00,2024-03-22T00:00:00,Delivered,InStore,
1030,21,3,10,2024-03-30T17:00:00,2024-04-06T00:00:00,Delivered,Online,
1031,9,4,13,2024-04-10T10:45:00,2024-04-17T00:00:00,Delivered,InStore,
1032,23,3,10,2024-04-25T13:30:00,2024-05-02T00:00:00,Delivered,Online,
1033,17,2,8,2024-05-08T16:15:00,2024-05-15T00:00:00,Delivered,InStore,
1034,6,3,10,2024-05-22T08:45:00,2024-05-29T00:00:00,Delivered,Online,
1035,24,1,7,2024-06-05T12:30:00,2024-06-12T00:00:00,Delivered,InStore,
1036,13,3,10,2024-06-18T15:45:00,2024-06-25T00:00:00,Delivered,Online,
1037,15,4,12,2024-07-02T09:00:00,2024-07-09T00:00:00,Delivered,InStore,
1038,10,3,10,2024-07-20T14:15:00,2024-07-27T00:00:00,Delivered,Online,
1039,20,3,10,2024-08-05T11:30:00,2024-08-12T00:00:00,Delivered,Online,
1040,8,2,9,2024-08-18T16:00:00,2024-08-25T00:00:00,Delivered,InStore,
1041,25,3,10,2024-09-01T10:00:00,2024-09-08T00:00:00,Shipped,Online,
1042,1,1,6,2024-09-15T13:30:00,2024-09-22T00:00:00,Shipped,InStore,
1043,22,3,10,2024-10-03T08:15:00,2024-10-10T00:00:00,Processing,Online,
1044,7,4,13,2024-10-18T17:30:00,2024-10-25T00:00:00,Processing,InStore,
1045,14,3,10,2024-11-01T12:00:00,2024-11-08T00:00:00,Pending,Online,
1046,3,3,10,2024-11-15T09:45:00,2024-11-22T00:00:00,Pending,Online,
1047,16,2,8,2024-12-01T14:30:00,2024-12-08T00:00:00,Pending,InStore,
1048,11,3,10,2024-12-10T11:00:00,2024-12-17T00:00:00,Cancelled,Online,Customer requested cancellation
1049,5,1,7,2025-01-05T10:30:00,2025-01-12T00:00:00,Pending,InStore,
1050,20,3,10,2025-01-20T15:15:00,2025-01-27T00:00:00,Pending,Online,
1051,26,1,1,2025-02-05T09:15:00,2025-02-12T00:00:00,Completed,InStore,
1052,27,2,4,2025-02-10T14:30:00,2025-02-17T00:00:00,Completed,Online,
1053,28,3,7,2025-02-18T11:00:00,2025-02-25T00:00:00,Completed,InStore,
1054,29,4,10,2025-02-25T16:45:00,2025-03-04T00:00:00,Completed,Online,
1055,30,5,13,2025-03-02T10:20:00,2025-03-09T00:00:00,Completed,InStore,
1056,31,1,2,2025-03-10T13:00:00,2025-03-17T00:00:00,Completed,Online,
1057,32,2,5,2025-03-18T09:45:00,2025-03-25T00:00:00,Completed,InStore,
1058,33,3,8,2025-03-25T15:30:00,2025-04-01T00:00:00,Completed,Online,
1059,34,4,11,2025-04-01T11:15:00,2025-04-08T00:00:00,Completed,InStore,
1060,35,5,14,2025-04-08T14:00:00,2025-04-15T00:00:00,Completed,Online,
1061,1,1,3,2025-04-15T10:30:00,2025-04-22T00:00:00,Completed,InStore,
1062,5,2,6,2025-04-22T16:00:00,2025-04-29T00:00:00,Completed,Online,
1063,10,3,9,2025-05-01T09:00:00,2025-05-08T00:00:00,Completed,InStore,
1064,15,4,12,2025-05-10T13:45:00,2025-05-17T00:00:00,Completed,Online,
1065,20,5,15,2025-05-18T11:30:00,2025-05-25T00:00:00,Completed,InStore,
1066,26,1,1,2025-06-02T10:00:00,2025-06-09T00:00:00,Completed,Online,
1067,28,2,4,2025-06-10T14:15:00,2025-06-17T00:00:00,Completed,InStore,
1068,30,3,7,2025-06-18T09:30:00,2025-06-25T00:00:00,Completed,Online,
1069,32,4,10,2025-06-25T15:00:00,2025-07-02T00:00:00,Completed,InStore,
1070,35,5,13,2025-07-02T11:45:00,2025-07-09T00:00:00,Completed,Online,
1071,27,1,2,2025-07-10T10:15:00,2025-07-17T00:00:00,Completed,InStore,
1072,29,2,5,2025-07-18T14:30:00,2025-07-25T00:00:00,Pending,Online,
1073,31,3,8,2025-07-25T09:00:00,2025-08-01T00:00:00,Pending,InStore,
1074,33,4,11,2025-08-01T16:15:00,2025-08-08T00:00:00,Pending,Online,
1075,34,5,14,2025-08-08T11:00:00,2025-08-15T00:00:00,Pending,InStore,
